hadithNum,mainID,takhreegIDs
1645,2760,"516,0,531,0,550,0,552,0,556,0,574,0,2488,0,2552,0,2558,0,2560,0,2561,0,2679,0,2693,0,2760,0,2787,0,2807,0,2825,0,2866,0,2870,0,2885,0,2886,0,2903,0,2908,0,2912,0,4782,0,4833,0,6577,0,6583,0,6589,0,6590,0,8262,0,8615,0,8633,0,9535,0,15005,0,15006,0,15007,0,15008,0,15009,0,15010,0,15011,0,15012,0,15013,0,15014,0,15015,0,15017,0,15018,0,15019,0,15020,0,15021,0,15024,0,15025,0,15028,0,15030,0,15086,0,15373,0,15374,0,15375,0,15376,0,15377,0,15378,0,15379,0,15380,0,21535,0,21721,0,21779,0,21780,0,21781,0,21783,0,21784,0,21786,0,23647,0,23648,0,23695,0,23709,0,23725,0,26193,0,29254,0,29255,0,29259,0,29591,0,29598,0,29601,0,29602,0,29812,0,29814,0,29870,0,29891,0,29904,0,29976,0,29983,0,30032,0,30033,0,30118,0,37647,0,37653,0,37729,0,37730,0,37865,0,37869,0,37871,0,37873,0,37875,0,37890,0,37900,0,37902,0,37919,0,37921,0,37923,0,37925,0,37951,0,38073,0,53494,0,64130,0,64210,0,64306,0,64370,0,67758,0,67856,0,67857,0,67858,0,67884,0,67914,0,67972,0,67973,0,68268,0,68270,0,72550,0,77331,0,77430,0,77431,0,77432,0,77458,0,77488,0,77549,0,77550,0,77731,0,77734,0,78074,0,78075,0,78134,0,78152,0,78153,0,78154,0,78155,0,78156,0,78157,0,78158,0,78159,0,78160,0,78161,0,78208,0,78224,0,85168,0,91407,0,91408,0,91409,0,91410,0,91411,0,91412,0,91694,0,91697,0,91698,0,97847,0,97850,0,105413,0,105501,0,105525,0,105526,0,112091,0,112115,0,112141,0,112250,0,112251,0,112254,0,119877,0,120618,0,129543,0,129555,0,129589,0,129590,0,129600,0,129601,0,129609,0,129622,0,129623,0,129627,0,129628,0,129629,0,129644,0,129645,0,129646,0,129647,0,129847,0,130246,0,130247,0,130387,0,130388,0,130389,0,130391,0,130394,0,130396,0,130401,0,130675,0,130793,0,130794,0,130802,0,130803,0,130804,0,130805,0,130806,0,130807,0,130808,0,130878,0,148029,0,156667,0,176128,0,176145,0,176153,0,176161,0,176164,0,176165,0,176581,0,176615,0,176622,0,176731,0,176784,0,176882,0,176934,0,176963,0,176990,0,177154,0,177364,0,177366,0,177370,0,177373,0,177485,0,177498,0,177499,0,177578,0,177638,0,177647,0,177648,0,177663,0,177679,0,177722,0,177781,0,177782,0,177899,0,177936,0,178005,0,178026,0,178126,0,178146,0,178147,0,178216,0,178222,0,178226,0,178362,0,178363,0,178406,0,178407,0,181675,0,181725,0,181780,0,181846,0,183625,0,183626,0,183627,0,183629,0,183630,0,183631,0,189588,0,189736,0,189804,0,189848,0,206285,0,206286,0,206287,0,206332,0,206358,0,206405,0,206406,0,252224,0,252225,0,252226,0,253574,0,253575,0,253645,0,254525,0,255345,0,279922,0,285286,0,285287,0,285519,0,285541,0,285550,0,285552,0,285555,0,285556,0,285557,0,285558,0,285559,0,285560,0,285683,0,285684,0,285685,0,285686,0,285687,0,285688,0,285689,0,285690,0,285691,0,285692,0,285715,0,292297,0,292298,0,292299,0,292300,0,292301,0,294142,0,294146,0,294147,0,294148,0,294149,0,294157,0,294158,0,294159,0,294160,0,294161,0,294162,0,294167,0,326223,0,329504,0,330293,0,331384,0,333024,0,333625,0,334218,0,335330,0,336892,0,337358,0,337359,0,337753,0,337915,0,338645,0"
1646,2762,"2680,0,2681,0,2762,0,2785,0,2941,0,2942,0,2948,0,2950,0,6346,0,6347,0,6348,0,15094,0,15095,0,15096,0,15097,0,15098,0,15102,0,21614,0,29525,0,38058,0,50886,0,50887,0,67891,0,68054,0,68170,0,77465,0,77631,0,77740,0,77741,0,77742,0,105486,0,129557,0,129596,0,129654,0,130397,0,131199,0,131204,0,131205,0,147995,0,147997,0,147999,0,148016,0,148018,0,154891,0,155006,0,155007,0,155232,0,155406,0,155557,0,155575,0,155708,0,155734,0,155762,0,155922,0,156646,0,156687,0,156810,0,184195,0,190589,0,190780,0,200955,0,201253,0,201677,0,201678,0,202347,0,285338,0,285339,0,285340,0,285518,0,285545,0,285546,0,285548,0,285762,0,292305,0,292309,0,294163,0,294164,0,316766,0,339967,0"
1647,2764,"2764,0,4421,0,6324,0,6343,0,6344,0,23734,0,29817,0,29818,0,39809,0,67925,0,77499,0,77500,0,84202,0,84625,0,91375,0,92823,0,92824,0,95390,0,131200,0,131201,0,131313,0,131345,0,131346,0,135933,0,135934,0,140943,0,141141,0,141617,0,141620,0,141650,0,143376,0,170173,0,170174,0,170185,0,170189,0,170193,0,170194,0,184975,0,224315,0,252260,0,279671,0,280583,0,280593,0,287860,0,289197,0,292495,0,292496,0,292497,0,292498,0,294254,0,294255,0,296876,0,322124,0,322125,0,322126,0,323261,0"
1648,2765,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1649,2767,"2565,0,2767,0,2814,0,6580,0,9168,0,15088,0,15089,0,15090,0,15091,0,15092,0,21722,0,37917,0,67814,0,67940,0,77388,0,77515,0,91436,0,112213,0,129667,0,129668,0,129669,0,130597,0,178491,0,178499,0,178503,0,178504,0,192201,0,192203,0,192207,0,201124,0,201125,0,285310,0,294794,0,294795,0,294796,0,294797,0,294798,0,294799,0,294800,0,325905,0,325906,0,325907,0,325908,0,325909,0,325910,0,325979,0,325981,0,325990,0,325991,0,325997,0"
1650,2768,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1651,2770,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1652,2772,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1653,2774,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1654,2775,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1655,2776,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1656,2777,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1657,2779,"2765,0,2768,0,2770,0,2772,0,2774,0,2775,0,2776,0,2777,0,2779,0,3749,0,8645,0,15340,0,15341,0,15342,0,15343,0,15344,0,15345,0,15346,0,15347,0,15348,0,15349,0,15350,0,15352,0,15353,0,15354,0,21554,0,21617,0,23649,0,23650,0,23653,0,29198,0,29199,0,29261,0,38069,0,38081,0,38083,0,38085,0,38087,0,38089,0,67926,0,67932,0,67933,0,67934,0,67935,0,67936,0,67938,0,67943,0,67944,0,67946,0,67947,0,67948,0,67949,0,67950,0,67957,0,67958,0,67959,0,67960,0,67961,0,77501,0,77507,0,77508,0,77509,0,77510,0,77511,0,77513,0,77518,0,77519,0,77521,0,77522,0,77523,0,77524,0,77525,0,77526,0,77533,0,77534,0,77535,0,77536,0,77537,0,77538,0,91376,0,91380,0,91381,0,91382,0,97778,0,97780,0,105513,0,105558,0,105559,0,112284,0,112285,0,112287,0,112290,0,131225,0,131320,0,131322,0,131325,0,131326,0,131327,0,131330,0,131335,0,131336,0,131337,0,131338,0,141904,0,141905,0,153362,0,176072,0,176120,0,176136,0,176188,0,176207,0,176548,0,176580,0,176614,0,176660,0,176767,0,176768,0,176844,0,177014,0,177034,0,177440,0,177468,0,177522,0,177557,0,177576,0,177625,0,177634,0,177637,0,177640,0,177641,0,177642,0,177702,0,177796,0,177797,0,177836,0,177879,0,177893,0,177933,0,177934,0,177948,0,178052,0,178070,0,178217,0,178321,0,181629,0,181646,0,181704,0,183632,0,183633,0,183641,0,183642,0,189478,0,189589,0,189742,0,189743,0,189937,0,189938,0,189974,0,190027,0,251681,0,251899,0,251900,0,252263,0,252266,0,254382,0,279672,0,285806,0,285809,0,285810,0,285811,0,285812,0,285814,0,285815,0,285816,0,285817,0,285818,0,285819,0,285820,0,285821,0,285822,0,285823,0,285824,0,285825,0,285826,0,296520,0,296521,0,296523,0,296524,0,296525,0,296526,0,296527,0,296528,0,296529,0,296530,0,296531,0,296532,0,296533,0,296534,0,329503,0,337398,0,337516,0"
1658,2781,"2756,0,2781,0,4460,0,9540,0,15356,0,15357,0,15358,0,21668,0,23654,0,23655,0,38091,0,38095,0,67965,0,77542,0,91384,0,112299,0,131353,0,131354,0,157774,0,157878,0,158159,0,158544,0,160422,0,160562,0,160628,0,160669,0,160753,0,161006,0,182845,0,183164,0,184618,0,191402,0,191766,0,203954,0,204098,0,204600,0,204601,0,204964,0,254320,0,254322,0,280001,0,285367,0,285368,0,285369,0,285370,0,285371,0,285372,0"
1659,2783,"2783,0,2797,0,2798,0,2800,0,2802,0,3721,0,15322,0,15323,0,15324,0,15325,0,15326,0,21724,0,23711,0,23712,0,29837,0,29839,0,29843,0,29845,0,38105,0,38107,0,78093,0,78095,0,78096,0,78097,0,78099,0,78100,0,78102,0,78103,0,78105,0,78106,0,78107,0,78108,0,91389,0,91395,0,105566,0,112292,0,112377,0,131332,0,131378,0,131399,0,131400,0,132872,0,132873,0,142125,0,150918,0,151330,0,151331,0,151428,0,151429,0,151537,0,151653,0,151654,0,151702,0,153253,0,151222,0,151225,0,183444,0,183445,0,185204,0,185233,0,185443,0,185503,0,185512,0,192818,0,195355,0,195356,0,195357,0,195358,0,195359,0,195360,0,195361,0,195362,0,195363,0,195369,0,195370,0,208314,0,252723,0,290141,0,290142,0,290143,0,290144,0,290145,0,290146,0"
1660,2785,"2680,0,2681,0,2762,0,2785,0,2941,0,2942,0,2948,0,2950,0,6346,0,6347,0,6348,0,15094,0,15095,0,15096,0,15097,0,15098,0,15102,0,21614,0,29525,0,38058,0,50886,0,50887,0,67891,0,68054,0,68170,0,77465,0,77631,0,77740,0,77741,0,77742,0,105486,0,129557,0,129596,0,129654,0,130397,0,131199,0,131204,0,131205,0,147995,0,147997,0,147999,0,148016,0,148018,0,154891,0,155006,0,155007,0,155232,0,155406,0,155557,0,155575,0,155708,0,155734,0,155762,0,155922,0,156646,0,156687,0,156810,0,184195,0,190589,0,190780,0,200955,0,201253,0,201677,0,201678,0,202347,0,285338,0,285339,0,285340,0,285518,0,285545,0,285546,0,285548,0,285762,0,292305,0,292309,0,294163,0,294164,0,316766,0,339967,0"
